Plant types,Sites,Age(years),Shoot mass(g),Actual stand density(no./m2),Ann.Rainfall (mm),Ann. Mean Temp.(oC),PET(mm),ALT.(m),LAT.(N  deg.),LON.(E  deg.),Reference
Boreal/alpine Picea-Abies forest,Sichuan,150,419159.4203,0.069,501.13,0.25,756.88,3500,33.35,103.41,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,158,364050.6329,0.0553,501.13,0.25,756.88,3500,33.37,103.36,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,142,288595.6007,0.0591,504.64,0.6,758.97,3436,33.38,103.5,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,154,292379.4712,0.0643,501.13,0.25,756.88,3500,33.4,103.37,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,135,326223.7762,0.0572,495.97,0.608333333,759.31,3450,33.43,103.49,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,146,364431.2394,0.0589,495.97,0.608333333,759.31,3433,33.47,103.46,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,137,210881.2261,0.0783,495.97,0.608333333,759.31,3433,33.48,103.54,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,150,250192.7711,0.083,478.32,1.658333333,790.23,3500,33.62,103.39,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,148,401226.4151,0.053,495.77,1.375,765.67,3275,33.53,103.66,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,144,240018.2149,0.0549,467.66,2.125,790.26,3500,33.85,103.3,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,137,231123.2449,0.0641,467.66,2.125,790.26,3500,33.76,103.34,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,114,188535.5191,0.0915,453.49,0.95,801.22,3500,34.2,102.93,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,114,188535.5191,0.0915,453.49,0.95,801.22,3500,34.2,102.93,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,131,304841.4376,0.0473,483.83,5.216666667,843.34,3243,33.27,103.82,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,92,180869.5652,0.0805,497.87,2.625,799.66,3238,33.28,103.66,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,142,243102.4096,0.0664,489.68,0.95,776.61,3500,33.52,103.3,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,140,433917.5258,0.0485,495.77,1.375,765.67,3238,33.55,103.62,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,167,324863.2219,0.0658,489.68,0.95,776.61,3500,33.57,103.32,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,109,146206.8966,0.0928,453.49,0.95,801.22,3500,34.17,102.82,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,133,249513.5135,0.074,487.02,0.416666667,774.76,3500,33.58,103.28,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,119,244760.5634,0.071,495.97,0.608333333,759.31,3410,33.5,103.57,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,109,168828.877,0.187,409.76,10.81666667,863.22,3500,33.52,105.4,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,146,370718.75,0.064,495.97,0.608333333,759.31,3500,33.52,103.54,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,90,154319.5266,0.0676,448.19,0.4,793.68,3500,34.25,102.92,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,137,230856.6978,0.0642,495.97,0.608333333,759.31,3450,33.45,103.5,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,198,601937.046,0.0413,519.13,4.133333333,826.54,3325,32.6,103.6,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,46,127747.6415,0.0848,536,8.691666667,854.16,3273,31.5,103.55,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,55,63029.31596,0.1842,919.33,15.2,990.21,2900,30.1,102.7,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,48,84491.68207,0.1082,526.74,0.566666667,738.63,3207,33.07,103.73,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,214,563117.207,0.0401,578.85,-0.458333333,750.96,3208,30.9,102.33,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,317,944222.2222,0.0405,515.74,-0.858333333,791.93,3800,30.9,100.3,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,164,346207.5848,0.0501,517.58,5.7,936.13,3758,30,101,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,133,352562.1118,0.0644,547.08,8.933333333,907.84,2805,30.9,103.1,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,350,8344127.907,0.0172,428.05,-0.033333333,853.31,2750,29.92,95.88,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,175,1882067.511,0.0237,510.58,8.075,995.63,3500,28.6,97.4,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,100,133842.3029,0.0799,379,2.308333333,958.62,3900,31.1,97.1,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,113,510327.8689,0.0244,445.74,-1.341666667,821.25,4150,30.9,94.7,Luo 1996
