site,family,genus,species,height,biomass
Road,Poaceae,Festuca,arizonica,8.2,0.064
Road,Poaceae,Festuca,arizonica,12.2,0.018
Road,Poaceae,Festuca,arizonica,11.9,0.085
Road,Poaceae,Festuca,arizonica,21.7,0.061
Road,Poaceae,Festuca,arizonica,31.8,0.127
Road,Poaceae,Festuca,arizonica,14.2,0.018
Road,Poaceae,Festuca,arizonica,15.5,0.076
Road,Poaceae,Festuca,arizonica,8.9,0.06
Road,Poaceae,Festuca,arizonica,8.1,0.036
Road,Poaceae,Festuca,arizonica,12.6,0.04
Road,Poaceae,Festuca,arizonica,9,0.035
Road,Poaceae,Festuca,arizonica,9.1,0.042
Road,Poaceae,Festuca,arizonica,10.6,0.053
Road,Poaceae,Festuca,arizonica,7.6,0.014
Road,Poaceae,Festuca,arizonica,8.4,0.049
Road,Poaceae,Festuca,arizonica,18.3,0.047
Road,Poaceae,Festuca,arizonica,19.1,0.097
Road,Poaceae,Festuca,arizonica,21.2,0.072
Road,Poaceae,Festuca,arizonica,14,0.147
Road,Poaceae,Festuca,arizonica,9.2,0.056
Road,Poaceae,Festuca,arizonica,14.3,0.036
Road,Poaceae,Festuca,arizonica,14.3,0.186
Road,Poaceae,Festuca,arizonica,15.6,0.183
Road,Poaceae,Festuca,arizonica,11.6,0.014
Road,Poaceae,Festuca,arizonica,5.1,0.036
Road,Poaceae,Festuca,arizonica,8.7,0.114
Road,Poaceae,Festuca,arizonica,8.4,0.04
Road,Poaceae,Festuca,arizonica,6,0.095
Road,Poaceae,Festuca,arizonica,7.1,0.035
Road,Poaceae,Festuca,arizonica,14.5,0.105
Road,Poaceae,Festuca,arizonica,22,0.221
Road,Poaceae,Festuca,arizonica,8.6,0.041
Road,Poaceae,Festuca,arizonica,6,0.039
Road,Poaceae,Festuca,arizonica,6.1,0.038
Road,Poaceae,Festuca,arizonica,3.1,0.005
Road,Poaceae,Festuca,arizonica,14.1,0.075
Road,Poaceae,Festuca,arizonica,12.5,0.021
Road,Poaceae,Festuca,arizonica,28.2,0.153
Road,Poaceae,Festuca,arizonica,6.5,0.062
Road,Poaceae,Festuca,arizonica,3.1,0.026
