Field Name,Weight
Odi,0.5598
Fox,0.1362
Red,0.1966
Dead,0.2147
Odi,0.5549
Fox,0.1811
Hor,0.4461
Hor,0.7508
Fox,0.2471
Fla,0.0085
Bul,0.629
Odi,0.0388
Odi,0.2101
Odi,0.433
Fox,0.4265
Odi,0.1181
Tri,0.4145
Fox,0.2688
Fox,0.2378
Fla,0.1085
Dead,0.3854
Dead,0.1245
Fox,0.2154
Fox,0.3691
Dead,0.2417
Fox,0.1482
Odi,0.6546
Dead,0.266
Red,0.0406
Red,0.0578
Fox,0.072
Red,0.0583
Hor,0.6416
Fox,0.2587
Red,0.104
Fox,0.2594
Fla,0.049
Red,0.0766
Dead,0.2743
Fla,0.0523
Fox,0.1921
Odi,0.7603
Mint,0.4029
Fox,0.4796
Odi,0.1265
Red,0.1028
Fox,0.1266
Odi,0.4924
Dead,0.2929
Fox,0.6401
Red,0.0766
Red,0.0727
Fox,0.1232
Hor,0.1163
Fox,0.086
Red,0.1265
Red,0.0934
Fox,0.1876
Fox,0.0228
Dead,0.1888
Fox,0.0738
Dead,0.0784
Fox,0.078
Red,0.0387
Hor,0.4295
Fox,0.0817
Odi,0.4135
Red,0.0557
Fla,0.1096
Fox,0.4529
Dead,0.1423
Odi,0.1273
Dead,0.5314
Dead,0.2207
Dead,0.1086
Dead,0.269
Hor,0.0657
Dead,0.0927
Red,0.2007
Fla,0.0631
Dead,0.2061
Fox,0.0221
Dead,0.3023
Dead,0.1878
Red,0.0605
Dead,0.1567
Agr,0.0231
Odi,0.0707
Fox,0.1
Dead,0.2731
Red,0.056
Fox,0.562
Agr,0.0171
Red,0.1993
Fox,0.2077
Fox,0.0167
Dead,0.2378
Dead,0.4612
Red,0.0336
Fla,0.0459
Fox,0.4863
Fox,0.2528
Fox,0.0893
Fox,0.1755
Fox,0.1058
Hor,0.0487
Fla,0.033
Fox,0.0385
Hor,0.0248
Fla,0.2376
Red,0.059
Red,0.0459
Fla,0.134
Red,0.1198
Fla,0.0563
Fla,0.041
Red,0.0699
Red,0.1613
Red,0.041
Red,0.1537
Agr,0.0412
Odi,0.5842
Fla,0.1454
Fla,0.1163
Dead,0.0823
Fox,0.0536
Fox,0.2234
Fla,0.0551
Odi,0.0766
Red,0.0844
Fox,0.2762
Dead,0.2293
Sti,0.3695
Arr,0.1088
Tri,0.7901
Red,0.0227
Fox,0.1802
Odi,0.2931
Red,0.1985
Red,0.0768
Hor,0.0687
Dead,0.1105
Red,0.102
Red,0.0866
Tri,0.7599
Red,0.0821
Sti,0.1266
Red,0.2228
Red,0.0432
Fla,0.1796
Fla,0.1881
Sti,0.0983
Red,0.1085
Red,0.1244
Fla,0.0562
Red,0.6054
Red,0.1278
Str,0.1506
Odi,0.0815
Red,0.0705
Red,0.0489
Fox,0.125
Fox,0.2227
Fox,0.1007
Fla,0.0608
Fla,0.1166
Fla,0.0712
Fla,0.1229
Fox,0.3258
Fox,0.0082
Red,0.1307
Fox,0.1418
Fox,0.013
Fla,0.0358
Red,0.0265
Red,0.0225
Fox,0.0827
Fox,0.0382
Fox,0.1358
Hor,0.1187
Fla,0.1527
Bul,0.295
Fox,0.4427
Fox,0.1974
Fox,0.1659
Red,0.1356
Red,0.0708
Fla,0.1845
Red,0.0571
Fox,0.2165
Odi,0.1536
Odi,0.1221
Red,0.0404
Fox,0.2517
Hor,0.0704
Fla,0.1396
Fox,0.0765
Fox,0.1315
Fox,0.608
Red,0.1856
Red,0.1545
Odi,0.3999
Fla,0.0692
Red,0.1388
Fox,0.3285
Fox,0.3311
Red,0.2238
Fox,0.1501
Hor,0.1522
Fox,0.3231
Odi,0.1227
Fox,0.5856
Dead,0.2233
Dead,0.2079
Odi,0.1475
Dead,0.3095
Dead,0.1961
Fox,0.114
Fox,0.4793
Tri,0.271
Odi,0.1935
Fox,0.2477
Tri,0.5216
Sti,0.4765
Fox,0.0538
Fox,0.044
Fox,0.3586
Fox,0.2724
Hor,0.6853
Dead,0.149
Red,0.073
Fla,0.0328
Fla,0.0701
Red,0.1005
Red,0.2098
Fla,0.1562
Fox,0.0457
Fox,0.1803
Fox,0.6681
Odi,0.6381
Odi,0.7026
Odi,1.2942
Odi,0.7994
