Field Name,Weight,,,,
Fla,0.0426,787,,,
Dead,0.2758,788,,,
Fla,0.1838,789,,,
Fla,0.1131,790,,,
Fla,0.221,791,,,
Fox,0.3224,792,,,
Hor,0.237,793,,,
Fox,0.1858,794,,,
Fox,0.1394,795,,,
Fox,0.0967,796,,,
Sti,0.1919,797,,,
Sti,0.3868,798,,,
Red,0.2767,799,,,
Fla,0.0953,800,,,
Tri,0.1052,801,,,
Sti,0.0699,802,,,
Hor,0.1642,803,,,
Odi,0.1287,804,,,
Fox,0.2167,805,,,
Fox,0.1539,806,,,
Fla,0.1151,807,,,
Fox,0.3644,808,,,
Fox,0.191,809,,,
Fox,0.4354,810,,,
Fox,0.1648,811,,,
Bul,0.4438,812,,,
Fox,0.3528,813,,,
Fox,0.2307,814,,,
Cla,0.4876,815,,,
Odi,0.0897,816,,,
Odi,0.0862,817,,,
Fox,0.1242,818,,,
Mint,0.2887,819,,,
Fox,0.0492,820,,,
Arr,0.0515,821,,,
Fox,0.0758,822,,,
Fox,0.3473,823,,,
Sti,0.5648,824,,,
Odi,0.0333,825,,,
Fox,0.3735,826,,,
Fla,0.5433,827,,,
Odi,0.1048,828,,,
Dead,0.3156,829,,,
Fox,0.3697,830,,,
Cla,0.1941,831,,,
Red,0.027,832,,,
Fla,0.0152,833,,,
Odi,0.515,834,,,
Fox,0.7671,835,,,
Fla,0.0573,836,,,
Hor,0.4418,837,,,
Fla,0.269,838,,,
Fla,0.0934,839,,,
Red,0.0457,840,,,
Fox,0.018,841,,,
Fox,0.7075,842,,,
Odi,0.4144,843,,,
Fox,0.1347,844,,,
Odi,0.3446,845,,,
Odi,0.1745,846,,,
Fox,0.147,847,,,
Fla,0.087,848,,,
Fox,1.0938,849,,,
Fla,0.1238,850,,,
Cla,0.1302,851,,,
Red,0.1718,852,,,
Cla,0.2207,853,,,
Tin,0.2608,854,,,
Odi,0.0068,855,,,
Fla,0.1338,856,,,
Cla,0.20545,857,,,
Cla,0.1288,858,,,
Fla,0.0438,859,,,
Hor,0.5125,860,,,
Cla,0.1954,861,,,
Hor,0.2309,862,,,
Fla,0.1424,863,,,
Fox,0.4261,864,,,
Red,0.1121,865,,,
Red,0.113,866,,,
Fla,0.1011,867,,,
Fox,0.7677,868,,,
Cla,0.0762,869,,,
Fox,0.1514,870,,,
Fla,0.1066,871,,,
Fla,0.0924,872,,,
Red,0.0973,873,,,
Fox,0.1628,874,,,
Dead,0.7572,875,,,
Hor,0.1148,876,,,
Red,0.0677,877,,,
Fla,0.0985,878,,,
Cla,0.2514,879,,,
Odi,0.0257,880,,,
Tri,0.3557,881,,,
Fox,0.6674,882,,,
Cla,0.2514,883,,,
Odi,0.0257,884,,,
Tri,0.3557,885,,,
Fox,0.6674,886,,,
Cla,0.5078,887,,,
Red,0.2094,888,,,
Dead,0.1521,889,,,
Cla,0.2812,890,,,
Red,0.0174,891,,,
Fox,0.9153,892,,,
Red,0.1358,893,,,
Fla,0.1945,894,,,
Fox,0.2901,895,,,
Fla,0.2278,896,,,
Red,0.0308,897,,,
Sti,0.2321,898,,,
Fla,0.1886,899,,,
Red,0.0963,900,,,
Fla,0.0698,901,,,
Fla,0.0459,902,,,
Fox,0.2266,903,,,
Fla,0.2187,904,,,
Fla,0.0615,905,,,
Fla,0.1323,906,,,
Red,0.0291,907,,,
Fox,0.0698,908,,,
Fox,0.5758,909,,,
Red,0.4303,910,,,
Fox,0.1853,911,,,
Fox,0.0655,912,,,
Fox,0.1182,913,,,
Fox,0.2243,914,,,
Fla,0.0361,915,,,
Fox,0.073,916,,,
Fla,0.4187,917,,,
Fox,0.4906,918,,,
Hor,0.2113,919,,,
Cla,0.4012,920,,,
Fla,0.2529,921,,,
Fla,0.0661,922,,,
Cla,0.2597,923,,,
Sti,0.1172,924,,,
Fox,0.1962,925,,,
Odi,0.118,926,,,
Tin,0.0529,927,,,
Hor,0.0627,928,,,
Fox,0.1087,929,,,
Fox,0.0324,930,,,
Cla,0.5692,931,,,
Agr,0.047,932,,,
Fox,0.5311,933,,,
Fla,0.1193,934,,,
Dead,0.3622,935,,,
Fox,0.3335,936,,,
Fla,0.1118,937,,,
Fox,0.2263,938,,,
Fox,0.5747,939,,,
Str,0.1762,940,,,
Red,0.0831,941,,,
Fox,0.4662,942,,,
Fox,0.1531,943,,,
Fox,0.8575,944,,,
Fox,0.0549,945,,,
Fla,0.0604,946,,,
Hor,0.1514,947,,,
Red,0.2204,948,,,
Fla,0.0732,949,,,
Fox,0.3072,950,,,
Odi,0.1752,951,,,
Cla,0.2353,952,,,
Tri,0.1562,953,,,
Tin,0.0269,954,,,
Fla,0.2207,955,,,
Fla,0.063,956,,,
Odi,0.3581,957,,,
Fox,0.2379,958,,,
Fox,0.066,959,,,
Fla,0.1701,960,,,
Fox,0.2619,961,,,
Fla,0.4188,962,,,
Fox,0.3641,963,,,
Fox,0.484,964,,,
Fox,0.5481,965,,,
Cla,0.2745,966,,,
Bul,0.2606,967,,,
Fox,0.9981,968,,,
Odi,0.1114,969,,,
Red,0.0522,970,,,
Fla,0.0578,971,,,
Fla,0.0717,972,,,
Osm,0.0364,973,,,
Red,0.0491,974,,,
Hor,0.0911,975,,,
Odi,0.0703,976,,,
Dead,0.1412,977,,,
Fox,0.2314,978,,,
Red,0.0703,979,,,
Fla,0.0301,980,,,
Red,0.0888,981,,,
Dead,0.1642,982,,,
Fox,0.269,983,,,
Red,0.0503,984,,,
Osm,0.1012,985,,,
Red,0.0853,986,,,
Red,0.1592,987,,,
Fox,0.1488,988,,,
Fla,0.1404,989,,,
Fox,0.1134,990,,,
Fox,0.0234,991,,,
Fox,0.0884,992,,,
Tin,0.077,993,,,
Red,0.0182,994,,,
Fox,0.074,995,,,
Fox,0.0459,996,,,
Sti,0.1392,997,,,
Fla,0.3002,998,,,
Red,0.2454,999,,,
Red,0.2205,1000,,,
Sti,0.1912,1001,,,
Cla,0.0384,1002,,,
Fla,0.0638,1003,,,
Fla,0.0885,1004,,,
Fox,0.3866,1005,,,
Fla,0.2088,1006,,,
Fla,0.2623,1007,,,
Fla,0.0686,1008,,,
Fox,0.109,1009,,,
